smiles,pka,marvin_pKa_type
CCC[n+]1cccc2c(O)cccc21,6.06,acidic
CCC[n+]1cccc2cc(O)ccc21,7.08,acidic
CCCc1c(-c2ccccc2)[nH][nH]c1=O,8,acidic
CCCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,7,acidic
CCCc1cc(Cl)cc(Cl)c1O,8.1,acidic
CCCc1ccc(C)nn1,4.25,basic
CCCc1ccc(CCCN(C)C)cc1,10.54,basic
CCCc1ccc(O)c(-c2cc(CCC)ccc2O)c1,9.3,acidic
CCCc1ccccc1N,4.36,basic
CCCc1ccccn1,5.97,basic
CCCc1cccnn1,3.59,basic
CCCc1ccnc2c1ccc1cccnc12,5.45,basic
CCCc1nc(=O)c2ccncc2[nH]1,8.8,acidic
CCCc1nc2cc(OCC)ccc2[nH]1,6.12,basic
CCCc1ncc[nH]1,8.02,basic
CCCc1ncnc2c(O)cccc12,8.82,acidic
CCCc1nn[nH]n1,5.61,acidic
CCCc1oc2ccccc2c(=O)c1C(=O)c1cc(I)c(O)c(I)c1,4.89,acidic
CCCc1oc2ccccc2c(=O)c1C(=O)c1ccc(O)cc1,7.74,acidic
CCCn1ccnc1C,8.2,basic
CCCn1ccnc1C=O,5.15,basic
CCCn1ccnc1CO,7.04,basic
CCCn1cnc2ccccc21,5.46,basic
CCCn1cncn1,2.36,basic
CCN,10.77,basic
CCN(C(=O)Cc1ccc(OC)cc1)C1CCN(C(C)C[C@H](NC(=O)C2CCC2)c2ccccc2)CC1,7.8,basic
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@@H](c2cc(F)cc(F)c2)C2CCN(S(C)(=O)=O)CC2)CC1,8.4,basic
CCN(C(=O)Cc1ccc(S(C)(=O)=O)cc1)C1CCN(CC[C@H](c2ccc(S(C)(=O)=O)cc2)c2cc(F)cc(F)c2)CC1,7.5,basic
CCN(C(C)C)C(C)C,11.44,basic
CCN(C)C,10.125,basic
CCN(C)C(=O)C1CC(c2ccc(CN3CCCC3)c(F)c2)C1,9.3,basic
CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,8.99,basic
CCN(C)CC,10.39,basic
CCN(C)Cc1no[n+]([O-])c1C#N,5.79,basic
CCN(C)N,7.3,basic
CCN(C)N(C)C,6.38,basic
CCN(C)N(C)CC,6.8,basic
CCN(C)N(CC)CC,7.3,basic
CCN(C)NC,6.85,basic
CCN(C)c1ccccc1,6.02,basic
CCN(C1=NCCN1)c1c(Br)cccc1Br,11.1,basic
CCN(CC)C(=O)C1(c2ccccc2)CC1CN,9.5,basic
CCN(CC)C(=O)C1=CC2c3cccc4[nH]cc(c34)CC2N(C)C1,7.8,basic
CCN(CC)C(=O)N[C@H]1C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,6.8,basic
CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,9.6,basic
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,9.6,basic
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@@H]1CN,9.7,basic
CCN(CC)C(=O)[C@]1(c2ccccc2)C[C@H]1CN,9.6,basic
CCN(CC)C(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2,6.75,basic
CCN(CC)C(=S)S,3.95,acidic
CCN(CC)C(C)(C)C=O,8.3,basic
CCN(CC)C(C)C(=O)Nc1c(C)cccc1C,8.053333,basic
CCN(CC)C(C)C=C(c1cccs1)c1cccs1,8.9,basic
CCN(CC)C(C)CC(=O)Nc1c(C)cccc1C,9.03,basic
CCN(CC)C(C)CCC(=O)Nc1c(C)cccc1C,9.87,basic
CCN(CC)C(C)CCCC(=O)Nc1c(C)cccc1C,10.1,basic
CCN(CC)C(C)O,10.2,basic
CCN(CC)CC,10.765,basic
CCN(CC)CC#N,4.18,basic
CCN(CC)CC(=O)N(C)c1ccccc1C,8.74,basic
CCN(CC)CC(=O)NC1CCCCC1,8.21,basic
CCN(CC)CC(=O)NC1CCc2ccccc21,8.19,basic
CCN(CC)CC(=O)NC1c2ccccc2-c2ccccc21,7.98,basic
CCN(CC)CC(=O)NCc1ccccc1,8.07,basic
CCN(CC)CC(=O)Nc1c(C)cc(C)cc1C,7.9,basic
CCN(CC)CC(=O)Nc1c(C)cccc1C,7.873636,basic
CCN(CC)CC(=O)Nc1cc(C)cc(C)c1,8.01,basic
CCN(CC)CC(=O)Nc1cc(C)ccc1C,7.92,basic
CCN(CC)CC(=O)Nc1ccc(C)cc1,8.13,basic
CCN(CC)CC(=O)Nc1ccc(C)cc1C,7.95,basic
CCN(CC)CC(=O)Nc1ccccc1,8,basic
CCN(CC)CC(=O)Nc1ccccc1C,7.95,basic
CCN(CC)CC(O)CO,9.77,basic
CCN(CC)CC1CO1,8.55,basic
CCN(CC)CCBr,7,basic
CCN(CC)CCC#N,7.62,basic
CCN(CC)CCC(=O)Nc1c(C)cccc1C,8.895,basic
CCN(CC)CCC(C)=O,9.25,basic
CCN(CC)CCC(OC(=O)c1ccccc1)c1ccccc1,7.53,basic
CCN(CC)CCCC#N,9.29,basic
CCN(CC)CCCC(=O)Nc1c(C)cccc1C,9.52,basic
CCN(CC)CCCC(C)=O,10.1,basic
CCN(CC)CCCCC#N,10.08,basic
CCN(CC)CCCCC(=O)Nc1c(C)cccc1C,9.96,basic
CCN(CC)CCCCCC(=O)Nc1c(C)cccc1C,10.24,basic
CCN(CC)CCCCCCC(=O)Nc1c(C)cccc1C,10.24,basic
CCN(CC)CCCN1c2cc(F)ccc2CCc2ccc(F)cc21,7.65,basic
CCN(CC)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@@]21C,10.34,basic
CCN(CC)CCN1C(=O)Nc2ccccc2C1c1ccccc1,10.23,basic
CCN(CC)CCNC(=O)C1C[C@@H]1c1ccccc1,8.9,basic
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,9.471667,basic
CCN(CC)CCO,9.84,basic
CCN(CC)CCOC(=O)c1ccc2ccccc2c1,7.52,basic
CCN(CC)CCOC(=O)c1ccccc1,8.9,basic
CCN(CC)CCON=C1C[C@H]2C(C)(C)O[C@H]3CC(=O)OC[C@]32[C@H]2CC[C@@]3(C)[C@H](c4ccoc4)OC(=O)C4O[C@]43[C@]12C,9.17,basic
CCN(CC)CCONc1c(C2=c3ccc(Br)cc3=NC2=O)[nH]c2ccccc12,9.38,basic
CCN(CC)CCOc1ccc(C(=O)N2C/C(=C\c3ccccc3)C(=O)/C(=C/c3ccccc3)C2)cc1,10.84,basic
CCN(CC)CCS(=O)(=O)c1ccc(OC)c(OC)c1OC,7.41,basic
CCN(CC)CCSC,9.62,basic
CCN(CC)CCSC(C)C,9.32,basic
CCN(CC)CCSC1CCCCC1,8.11,basic
CCN(CC)CCSCC(C)C,8.83,basic
CCN(CC)CCn1ccc(=O)c(O)c1C,8.57,basic
CCN(CC)Cc1ccccc1,9.44,basic
CCN(CC)Cc1ccccc1OC,10.2,basic
CCN(CC)Cc1cn2nc(-c3ccccc3)cc(C)c2n1,8.79,basic
CCN(CC)Cc1no[n+]([O-])c1C#N,5.8,basic
CCN(CC)N(C)C,6.88,basic
CCN(CC)N(CC)CC,7.31,basic
CCN(CC)N=C(C)N,10.6,basic
CCN(CC)NC,7.14,basic
CCN(CC)S(=O)(=O)c1ccccc1C(=O)O,2.96,acidic
CCN(CC)S(=O)(=O)c1ccsc1C(=O)O,2.77,acidic
CCN(CC)c1ccc(C)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12,5.86,basic
CCN(CC)c1ccc(C)cc1,7.18,basic
CCN(CC)c1ccc(OC)c2nc(-c3c(OC)cc(COC)cc3OC)c(C)cc12,6.01,basic
CCN(CC)c1ccccc1,6.6,basic
CCN(CC)c1ccccc1C,7.18,basic
CCN(CC)c1ccccn1,7.32,basic
CCN(CC)c1nn[nH]n1,6.33,acidic
CCN(CC1CO1)CC1CO1,6.91,basic
CCN(CCC#N)CCC#N,4.55,basic
CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(C)cc1,7.4,basic
CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccc(OC)cc1,7.4,basic
CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1cccc2ccccc12,7.4,basic
CCN(CCCN1CCc2cc(OC)ccc2C1)S(=O)(=O)c1ccccc1,7.4,basic
CCN(CCO)CC(C)O,8.9,basic
CCN(Cc1cc(C(F)(F)F)ccc1-c1cc(CC(=O)O)n2cccnc12)C(=O)C1CC1,3.7,acidic
CCN(Cc1cc(C(F)(F)F)ccc1-c1nn(CC(=O)O)c2ccccc12)C(=O)C1CC1,2.8,acidic
CCN(Cc1ccccc1)Cc1no[n+]([O-])c1C#N,5.58,basic
CCN(N)CC,7.63,basic
CCN(O)CC,5.62,basic
CCN(c1ccccc1)C(C)(C)C,8.02,basic
CCN1CC1,7.91,basic
CCN1CCC=C1C,11.88,basic
CCN1CCCC1,10.96,basic
CCN1CCCC1C,10.6,basic
CCN1CCCC=C1C,11.57,basic
CCN1CCCCC1,10.68,basic
CCN1CCCCC1C,10.68,basic
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,8.9,basic
CCN1CCN(c2cc(=O)oc3c(C)c(O[C@@H]4OC(C)(C)[C@H](OC)[C@@H](OC(=O)c5ccc(C)[nH]5)[C@H]4O)ccc23)CC1,7.5,basic
CCN1CCOCC1,7.72,basic
CCN1CCc2onc(OC)c2C1,7,basic
CCN1CNS(=O)(=O)c2cc(Cl)ccc21,9.33,acidic
CCN1[C@@H](C)[C@@H]1C,9.41,basic
CCN1[C@@H](C)[C@H]1C,8.57,basic
CCN=C(N)N=C(N)Nc1ccc(Cl)cc1,10.82,basic
CCN=C(N=[N+]=[N-])c1ccccc1O,9.4,acidic
CCN=S1(=O)NC(=O)c2ccccc21,6.9,acidic
CCNC(=O)C1CC(F)(c2ccc(CN3CCCC3)c(F)c2)C1,9.2,basic
CCNC(=O)C1CCCCN1,8.6,basic
CCNC(=O)CS,8.14,acidic
CCNC(=O)c1nc(OC)cc(N(C)C)n1,2.9,basic
CCNC(=S)OC(C)C,11.52,acidic
CCNC(C)C,11.03,basic
CCNC(C)Cc1cccc(C(F)(F)F)c1,10,basic
CCNC1=NC(C)c2ccccc2N1,10.8,basic
CCNCC,11.05,basic
CCNCC(=O)N(CC)CC,8.78,basic
CCNCC(=O)Nc1c(C)cccc1C,8.06,basic
CCNCCC[C@@]1(c2ccccc2)C=C(c2cc(F)ccc2F)CN1C(=O)N(C)C,10.7,basic
CCNCc1ccc(C)cc1,10.04,basic
CCNCc1ccccc1,9.75,basic
CCNN,7.95,basic
CCNN(C)C,6.58,basic
CCNN(C)CC,6.81,basic
CCNN(CC)CC,7.08,basic
CCNNC,7.5,basic
CCNNCC,7.66,basic
CCNc1ccc(C)cc1,5.72,basic
CCNc1cccc2ccccc12,4.19,basic
CCNc1ccccc1,5.29,basic
CCNc1ccccc1C,4.92,basic
CCOC(=O)C(=NO)C(=O)OCC,5.48,acidic
CCOC(=O)C(=NO)C(C)=O,7.2,acidic
CCOC(=O)C(=NO)c1ccc(Sc2cc(F)cc(C3CCOCC3)c2)cc1,9.3,acidic
CCOC(=O)C(=NO)c1ccccc1,8.95,acidic
CCOC(=O)C(C)=NO,9.64,acidic
CCOC(=O)C(C)N,7.8,basic
CCOC(=O)C(N)CC,7.71,basic
CCOC(=O)C(N)CC(C)C,7.63,basic
CCOC(=O)C(N)CCC(=O)NCCSC(=O)C(C)(C)C,8.9,basic
CCOC(=O)C(N)CCC(=O)NCCSC(=O)c1ccccc1,8.85,basic
CCOC(=O)C(N)CCC(=O)NCCSC(C)=O,8.94,basic
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,9.125,basic
CCOC(=O)C1(c2ccccc2)CCN(CC(F)(F)F)CC1,3.13,basic
CCOC(=O)C1(c2ccccc2)CCN(CC(F)F)CC1,5.23,basic
CCOC(=O)C1(c2ccccc2)CCN(CC)CC1,9.03,basic
CCOC(=O)C1(c2ccccc2)CCN(CCF)CC1,7.43,basic
CCOC(=O)C1C(CN2CCOCC2C(=O)O)=NC(c2nccs2)=N[C@H]1c1cccc(F)c1Cl,5.7,acidic
CCOC(=O)C1C2c3ccccc3C(c3ccccc32)C1N(C)C,7.48,basic
CCOC(=O)C1CC2CCN1CC2,8.8,basic
CCOC(=O)C1CCCC1=O,10.68,acidic
CCOC(=O)C1CCCCC1=O,11.9,acidic
CCOC(=O)C1CCc2nc3c(ccn4ccnc34)cc2C1,4.08,basic
CCOC(=O)C1CN2CCC1CC2,9.64,basic
CCOC(=O)CC(=O)c1ccc(C)cc1,10.73,acidic
CCOC(=O)CC(C(=O)OCC)n1ccnc1,6.02,basic
CCOC(=O)CC(CC(=O)OCC)n1ccnc1,6.45,basic
CCOC(=O)CC(NC)c1ccccc1,8.23,basic
CCOC(=O)CC(c1ccccc1)N(C)C,7.66,basic
CCOC(=O)CCCCCN,10.37,basic
CCOC(=O)CCCCN,10.15,basic
CCOC(=O)CCCN,9.71,basic
CCOC(=O)CCCc1ccccn1,5.32,basic
CCOC(=O)CCN,9.13,basic
CCOC(=O)CCN(C)C,8.6,basic
CCOC(=O)CN,7.74,basic
CCOC(=O)C[C@H](N)c1ccccc1,8.32,basic
CCOC(=O)Cc1ccccn1,4.25,basic
CCOC(=O)N(Cc1ccccc1-c1ccccc1)[C@H]1CCNC1,9.6,basic
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4.58,basic
CCOC(=O)N1CCN(C)CC1,7.31,basic
CCOC(=O)N1CCN(Cc2nc(-c3cccc(Cl)c3)no2)CC1,3.4,basic
CCOC(=O)N1CCN(Cc2nnc(-c3cc(Cl)ccc3F)o2)CC1,3.5,basic
CCOC(=O)N1CCN(Cc2nnc(-c3cccc(Cl)c3)o2)CC1,3.5,basic
CCOC(=O)N1CCN(Cc2noc(-c3cc(Cl)ccc3F)n2)CC1,4,basic
CCOC(=O)N1CCNCC1,8.28,basic
CCOC(=O)N1CCc2[nH]oc(=O)c2CC1,4.7,acidic
CCOC(=O)N=c1[nH]cnc2[nH]cnc12,9.63,acidic
CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN1CCOCC1)c1ccccc1S2,6.4,basic
CCOC(=O)c1c(O)nnn1C,5.54,acidic
CCOC(=O)c1c(O)nnn1Cc1ccccc1,5.38,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(Br)cc1,8.39,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(C(C)=O)cc1,9.05,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(C)cc1,8.61,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(Cl)cc1,9.73,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(F)cc1,8.14,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccc(OC)cc1,8.07,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1cccc(C)c1,7.64,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1cccc(Cl)c1,7.06,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1cccc(OC)c1,8.38,acidic
CCOC(=O)c1c[nH]c2c(c(C)nn2C)c1=Nc1ccccc1,8.23,acidic
CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccc(C)cc3)C2)nc1C,3.4,acidic
CCOC(=O)c1cc(C#N)c(N2CC(C(=O)NS(=O)(=O)Cc3ccccc3)C2)nc1C,3.6,acidic
CCOC(=O)c1cc2cc(F)c(O)c(F)c2oc1=O,3.8,acidic
CCOC(=O)c1ccc(CCN)cc1,9.58,basic
CCOC(=O)c1ccc(N)cc1,2.526667,basic
CCOC(=O)c1ccc(O)cc1,8.82,acidic
CCOC(=O)c1ccc(OS(N)(=O)=O)cc1,8.22,acidic
CCOC(=O)c1cccc(O)c1,9.05,acidic
CCOC(=O)c1ccccc1NC(=O)c1cn(C)c(O)c1O,6.49,acidic
CCOC(=O)c1cccnc1,3.2,basic
CCOC(=O)c1cn(C)[nH]c1=O,6.71,acidic
CCOC(=O)c1cn2c(C)c(C)nc2c2c1CCC(c1ccccc1)O2,6.35,basic
CCOC(=O)c1cnc2cc3c(cc2c1OCC)OCO3,4.09,basic
CCOC(=O)c1cnc2ccccc2c1O,9.62,acidic
CCOC(=O)c1cnc2ccccc2c1OCC,3.88,basic
CCOC(=O)c1cncn1[C@H](C)c1ccccc1,4.5,basic
CCOC(=O)c1n[nH]n(C)c1=O,6.21,acidic
CCOC(=O)c1n[nH]n(Cc2ccccc2)c1=O,6.22,acidic
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,6.2,basic
CCOC(=O)c1nn(C)[nH]c1=O,5.14,acidic
CCOC(=O)c1nn(Cc2ccccc2)[nH]c1=O,5.14,acidic
CCOC(=O)c1s/c(=N/c2ccc3oc(=O)ccc3c2)n(CC)c1C,7.44,basic
CCOC(=S)NC(=O)c1ccccc1,7.46,acidic
CCOC(C)=N,7.15,basic
CCOC(C)=NO,11.37,acidic
CCOC(N)=NC(=N)Nc1ccc(Cl)cc1,9.36,basic
CCOCC(=O)O,3.61,acidic
CCOCCN(C)c1ccccc1,4.8,basic
CCOCCNc1ccc(C)cc1,4.6,basic
CCOCCNc1ccc(Cl)cc1,3.28,basic
CCOCCNc1ccc(OC)cc1,4.99,basic
CCOCCNc1cccc(C)c1,4.24,basic
CCOCCNc1cccc(OC)c1,3.67,basic
CCOCCNc1ccccc1,4.04,basic
CCOC[n+]1ccn(C)c1C=NO,8.07,acidic
CCOO,11.8,acidic
CCOP(=O)(CN1CCOCC1)OCC,4,basic
CCOP(=O)(OCC)C(C)(N)CCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1,5.13,basic
CCOP(=O)(OCC)C1(C)CCCN1,7.01,basic
CCOP(=O)(OCC)c1ccc(-c2cc(=O)o[nH]2)o1,3.23,acidic
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CN(CCO)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,8.4,basic
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(C6CNC6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,10.7,basic
CCO[C@H]1CC1C(=O)O,4.645,acidic
CCOc1c(C#N)cnc2ccccc12,3.18,basic
CCOc1cc(C)nc(-n2[nH]c(C)cc2=O)n1,7.35,acidic
CCOc1ccc(-c2ccc(CCCN(C)C)cc2)cc1,9.82,basic
CCOc1ccc(-n2cc(C=NO)[n+](C)c2)cc1,9.44,acidic
CCOc1ccc(-n2cc(C=NO)[n+](C)c2SC)cc1,9.12,acidic
CCOc1ccc(/N=C/N(C)C)cc1,9.24,basic
CCOc1ccc(C(=O)O)c(C)c1,4.54,acidic
CCOc1ccc(C(=O)O)cc1,4.64,acidic
CCOc1ccc(C(=O)c2ccc3n2CCC3C(=O)O)cc1,3.46,acidic
CCOc1ccc(C)c(C(=O)O)c1,3.86,acidic
CCOc1ccc(N)cc1,5.25,basic
CCOc1ccc(NC(=O)c2cn3c(C)c(C)nc3c3c2CCC(c2ccccc2)O3)cc1,6.57,basic
CCOc1ccc(O)cc1,10.23,acidic
CCOc1ccc2[nH]c(C(C)C)nc2c1,6.17,basic
CCOc1ccc2[nH]c(C)nc2c1,6.22,basic
CCOc1ccc2[nH]c(CC(C)C)nc2c1,6.07,basic
CCOc1ccc2[nH]c(CC)nc2c1,6.27,basic
CCOc1ccc2[nH]cnc2c1,5.57,basic
CCOc1ccc2c(=Nc3ccc(NS(C)(=O)=O)cc3OC)c3ccccc3[nH]c2c1,7.37,acidic
CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,8.03,basic
CCOc1ccc2ccccc2c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12,2.7,acidic
CCOc1ccc2nc3c(c(N4CCOCC4)c2c1)CCC3,7.11,basic
CCOc1cccc(/N=C/N(C)C)c1,8.87,basic
CCOc1cccc(C(=O)N[C@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1OC,8.78,basic
CCOc1cccc(C(=O)O)c1,4.17,acidic
CCOc1cccc(C(=O)O)c1C,3.73,acidic
CCOc1cccc(C(=O)c2ccc3n2CCC3C(=O)O)c1,3.46,acidic
CCOc1cccc(C)c1C(=O)O,3.51,acidic
CCOc1cccc(N)c1,4.15,basic
CCOc1cccc2c(=Nc3ccc(NS(C)(=O)=O)cc3OC)c3ccccc3[nH]c12,7.37,acidic
CCOc1ccccc1/C=C/C(=O)O,4.68,acidic
CCOc1ccccc1/C=C\C(=O)O,4.35,acidic
CCOc1ccccc1C(=O)O,4.18,acidic
CCOc1ccccc1N,4.51,basic
CCOc1ccccn1,3.47,basic
CCOc1nc(=O)c2ccncc2[nH]1,7.5,acidic
CCOc1nccc(O)n1,8.2,acidic
CCOc1noc2c1CN(C)CC2,6.6,basic
CCOc1noc2c1CNCC2,7.6,basic
CCS(=O)(=O)Nc1ccc(N=c2c3ccccc3[nH]c3c(C(N)=O)cccc23)c(OC)c1,6.35,acidic
CCS(=O)(=O)Nc1ccc(N=c2c3ccccc3[nH]c3cc(NC(C)=O)ccc23)c(OC)c1,7.54,acidic
CCS(=O)(=O)Nc1ccc(N=c2c3ccccc3[nH]c3cc(OC)ccc23)c(OC)c1,7.36,acidic
CCS(=O)(=O)Nc1ccc(N=c2c3ccccc3[nH]c3ccccc23)c(OC)c1,7.4,acidic
CCS(=O)(=O)c1cc(OC)c(OC)c(C(=O)N[C@H]2C[C@@H]3CC[C@H](C2)N3Cc2ccccc2)c1,8.9,basic
CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOC1)CC2,5.9,basic
CCS(=O)(=O)n1c2c(c3cc(C(=O)N4CCC(C)CC4)ccc31)CN(C1CCOCC1)CC2,6.9,basic
CCS(=O)O,2.27,acidic
CCSC(=N)c1ccccc1,6.05,basic
CCSC(C)=N,6.9,basic
CCSC(C)C(=O)O,3.8,acidic
CCSCCN,9.48,basic
CCSCCN(CC)CC,9.03,basic
CCS[C@@H]1C(O)C2CC(=O)CC1N2C,5.15,basic
CC[C@@H](C[C@H]1COC(=N)N1)c1ccccc1,8.98,basic
CC[C@H](NC(=O)c1cc(F)ccc1NS(=O)(=O)c1ccc(Cl)cc1)c1ccccc1,3.8,acidic
CC[C@H](NC(=O)c1cc(OC)ccc1NS(=O)(=O)c1ccc(C)cc1)c1ccccc1,7.5,acidic
CC[C@H](NC(=O)c1ccccc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1)c1ccccc1,4,acidic
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1CC=O,8.11,basic
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)CC(C)C(=O)/C=C\[C@]2(C)O[C@H]2[C@@H]1C,8.79,basic
CC[C@]1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(C(F)(F)F)cc3)ccc2NC1=O,6.9,acidic
CC[C@]1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(F)cc3F)ccc2NC1=O,7.3,acidic
CC[C@]1(C)NC(=O)c2cc(S(=O)(=O)Nc3ccc(OC(F)F)cc3)ccc2NC1=O,7.9,acidic
CC[C@]1(O)C[C@@H](C)N[C@@H]2CCCC[C@H]21,10.31,basic
CC[C@]1(O)C[C@@H](C)N[C@H]2CCCC[C@@H]21,9.71,basic
CC[C@]1(O)C[C@H](C)N[C@@H]2CCCC[C@H]21,10.05,basic
CC[C@]1(c2ccccc2)NC(=O)NC1=O,8.5,acidic
CC[C@]12CCCN3CC[C@@]4(c5cccc(OC)c5N(C(C)=O)[C@H]4CC1)[C@@H]32,7.57,basic
CC[C@]12CCCN3CCc4c(n(c5ccccc45)CC1)[C@@H]32,6.9,basic
CC[N+](C)(C)C1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)C1,6.46,acidic
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(C#N)cc1,6.72,acidic
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(Cl)cc1,7.17,acidic
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(F)cc1,7.31,acidic
CC[N+](C)(CC)CCSC(=NO)C(=O)c1ccc(OC)cc1,7.7,acidic
CC[N+](O)(CC)CC,5.13,basic
CCc1[nH]c2cc(F)ccc2c1C1CCN(CCCSc2ccc(F)cc2)CC1,9.8,basic
CCc1c(-c2ccccc2)[nH][nH]c1=O,7.8,acidic
CCc1c(-c2ccccc2)[nH]n(-c2ccccc2)c1=O,8,acidic
CCc1c(C)[nH]n(C)c1=O,3.5,acidic
CCc1c(C)nc2c3c(c(C(=O)N(C)C)cn12)CCC(c1ccccc1)O3,6.7,basic
CCc1c(C)nnc(C)c1C,5.17,basic
CCc1c(O)c(=O)ccn1CC,9.93,acidic
CCc1c(O)cc(C)oc1=O,5.3,acidic
CCc1c(O)ccc(C(C)C)c1C,10.85,acidic
CCc1cc(=N)cc(N2CCc3ccccc3C2)[nH]1,9,basic
CCc1cc(C(=O)O)cs1,4.19,acidic
CCc1cc(C(C)C)c(O)cc1C,10.91,acidic
CCc1cc(C(C)C)ccc1O,10.77,acidic
CCc1cc(C)cc(O)c1,10.1,acidic
CCc1cc(C)nnc1C,4.73,basic
CCc1cc(Cl)n(C)c2nc3ccccc3c1-2,7.46,basic
CCc1cc(N=Nc2ccc(N(C)C)cc2)ccc1C,2.59,basic
CCc1cc(O)cc(C)c1Cl,9.6,acidic
CCc1cc2c(C)cc(=O)oc2cc1O,8.01,acidic
CCc1ccc(-n2c(Cl)cc3[nH]c(=O)c(-c4ccccc4)c(O)c32)cc1,6,acidic
CCc1ccc(C(=O)/C=C/C(=O)O)cc1,3.38,acidic
CCc1ccc(C(=O)O)nc1,5.86,acidic
CCc1ccc(C(C)C)cc1O,10.61,acidic
CCc1ccc(C)nn1,4.17,basic
CCc1ccc(CCCCN(C)C)cc1,9.9,basic
CCc1ccc(CCCN(C)C)cc1,10.63,basic
CCc1ccc(N)cc1,5.16,basic
CCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1C,2.6,basic
CCc1ccc(N=Nc2ccc(N(C)C)cc2)cc1CC,2.58,basic
CCc1ccc(O)c(C(C)C)c1,10.82,acidic
CCc1ccc(O)cc1,10.105,acidic
CCc1ccc2[nH]c3ccccc3c(=Nc3ccc(NS(C)(=O)=O)cc3OC)c2c1,7.46,acidic
CCc1ccc2c(=Nc3ccc(NS(C)(=O)=O)cc3OC)c3ccccc3[nH]c2c1,7.65,acidic
CCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@H](Cc1cc(F)cc(F)c1)NC(C)=O)CS(=O)(=O)C2,5.8,basic
CCc1cccc(/N=N/c2ccc(N(C)C)cc2)c1,2.16,basic
